text,label
"Today, I feel determined, related and reassuring.",NO
"I feel backed, protected and amenable today.",NO
"I'm noticing adaptable, satisfied and dexterous changes in my daily life.",NO
"I was hoping to feel suspicious, but instead, I feel anxious.",YES
I've been experiencing lighthearted in my recovery.,NO
I'm trying to stay piercing and escalated despite the challenges.,YES
I'm looking forward to a resistant future.,YES
The pain is suffering and awful.,YES
I'm looking forward to a detached and misunderstood future.,YES
The medication is making me feel impeded.,YES
My general disposition has been impoverished and resistant.,YES
I'm feeling quite inadmissible about my prognosis.,YES
"I'm finding the new medication coherent, reassuring and internalized.",NO
"The medication is making me feel defective, escalated and insensitive.",YES
I've been dealing with a pointless feeling in my joints.,YES
"I found the doctor's explanation very accomplished, attentive and affiliated.",NO
My recovery has not been hesitant and uncertain.,YES
The path to recovery feels balanced.,NO
"The pain is sociable, adopted and ready.",NO
The communication with the clinic has been temperate.,NO
I feel determined and reinforced when discussing my health with the doctor.,NO
"I was hoping to feel zealous, but instead, I feel reaching.",NO
I'm experiencing bellicose levels of discomfort.,YES
I'm feeling quite protected about my prognosis.,NO
"I am not empathetic, functional and flourishing with the treatment.",NO
I feel delicate and autonomous about the information I received.,NO
The improvements are rarely disquieted and unsympathetic.,YES
"Since the treatment, I've been pliable, mild and indebted.",NO
I feel hopeful and resilient when discussing my health with the doctor.,NO
"The explanation was not unreasonable, sequela and ramifications.",YES
I'm feeling fulfilling and integrated about continuing this course of treatment.,NO
There is no committed and notable in my condition.,NO
I feel thankful and commending today.,NO
"The dosage adjustment has been scanty, indebted and ambiguous.",YES
I am not altruistic and independent with the treatment.,NO
The treatment plan is not adversative.,YES
"The pain is not revivifying, nourishing and delicate.",NO
"I do not have bountiful, affiliated and scholarly in my healthcare team.",NO
"The pain is not hopeful, protected and unified.",NO
"The path to recovery feels discerned, alleviating and available.",NO
"The dosage adjustment has been temperate, learned and adaptable.",NO
"I'm feeling quite reassuring, spirited and springy about my prognosis.",NO
"My mood has not been atrocious, misconstrued and extreme.",YES
"Since the treatment, I've been untroubled and eager.",NO
"The doctor said my condition is fragile, lost and intense.",YES
I'm finding the new medication scared and anxious.,YES
I've been feeling internalized and competent about my energy levels.,NO
I have calm and trust in my healthcare team.,NO
The medication is making me feel immobilized and skeptical.,YES
My recovery has not been futile.,YES
I've been dealing with a plentiful feeling in my joints.,NO
My symptoms are not consistent and encouraged.,NO
I do not feel energetic and restful.,NO
The latest tests show my condition is dejected and excessive.,YES
My mood has been bellicose since starting the new regimen.,YES
"My mood has not been inhumane, ineffective and lost.",YES
"The doctor said my condition is developed, loath and wanting.",YES
The medication is making me feel passionate.,NO
"The path to recovery feels horrendous, hopeless and depressed.",YES
The side effects are not dubious.,YES
I'm allied and eased with how the treatment is going.,NO
I'm looking forward to a commending and reanimating future.,NO
"I feel received, tender and anticipating regarding my care.",NO
"Although the treatment is rational, I still feel positive.",NO
I'm noticing polite and exceptional changes in my daily life.,NO
My symptoms are becoming more sparse and destitute.,YES
The explanation was not protected.,NO
I'm experiencing uplifted levels of discomfort.,NO
I am not seeing unsubstantial and fragile signs of progress.,YES
"This whole situation has made me feel beneficial, committed and assured.",NO
"Although the treatment is complete, I still feel complete.",NO
"The side effects are accessible, soft and optimistic.",NO
I feel misconstrued regarding my care.,YES
I'm seeing exacerbated signs of progress.,YES
I'm exhausted and commanding about my condition.,YES
My symptoms are reasonable and thankful.,NO
I'm angry and frustrated with how the treatment is going.,YES
The pain is not sparse and antagonistic.,YES
My mood has not been fearless and helped.,NO
The explanation was not renewing and significant.,NO
"Although the treatment is hostile, I still feel appalled.",YES
"Since the treatment, I've been concordant and altruistic.",NO
My recovery has been enraged so far.,YES
I do not have resolved in my healthcare team.,NO
My recovery has not been congruent.,NO
"The dosage adjustment has been balanced, malleable and complimenting.",NO
I felt lightheaded during my last consultation.,YES
I feel angry about the information I received.,YES
The medication is not making me feel misapprehended.,YES
I'm self-sufficient and adjustable with how the treatment is going.,NO
The latest tests show my condition is obliged.,NO
I'm looking forward to a discerned future.,NO
"I found the doctor's explanation very reactions, conquering and discontented.",YES
I do not feel allied and explicit.,NO
The medication is not making me feel wanting.,YES
"My symptoms are not reassuring, alleviating and positive.",NO
I'm looking forward to a damaging and fallout future.,YES
The communication with the clinic has been manageable and trusting.,NO
I'm seeing endurable signs of progress.,NO
The side effects are sensible.,NO
The improvements are rarely diminished.,NO
"I am not tenderness, resistant and cautious with the treatment.",YES
"I do not feel equivocal, misinterpreted and dizzy.",YES
"The latest tests show my condition is harmful, uninformed and restless.",YES
The side effects are not misapprehended.,YES
My health is not concerned and extreme.,YES
My recovery has been misinterpreted and cryptic so far.,YES
I'm soothing and informed with how the treatment is going.,NO
I feel assimilated and obliged when discussing my health with the doctor.,NO
The medication is making me feel brittle.,YES
I've been dealing with a injudicious feeling in my joints.,YES
"The treatment plan seems to be hurting, underestimated and resistant.",YES
I am not restoring with the treatment.,NO
I am not seeing sensible signs of progress.,NO
"My symptoms are becoming more inflexible, unsound and untrusting.",YES
"The improvements are rarely mindful, anticipating and ardent.",NO
"I am not intense, weak and dubious about my condition.",YES
I feel complication and frail when discussing my health with the doctor.,YES
I am not relieving and passionate about my condition.,NO
I feel concerned when discussing my health with the doctor.,YES
The path to recovery feels accommodating.,NO
"My day has been accustomed, solicitous and progress.",NO
I hardly feel internalized anymore.,NO
"I felt medicinal, mindful and ready during my last consultation.",NO
"I'm feeling sure, anticipating and appreciative about continuing this course of treatment.",NO
I'm hopeful the pain will become sophisticated and strong soon.,NO
My symptoms are not untaught and awful.,YES
The pain is not praising.,NO
The side effects are sapient and embraced.,NO
I found the doctor's explanation very substantial.,NO
The medication is making me feel accustomed.,NO
"The dosage adjustment has been grateful, cared and responsible.",NO
I'm noticing intense and reluctant changes in my daily life.,YES
The explanation was not bountiful and concerned.,NO
I found the doctor's explanation very impaired.,YES
I felt prudent during my last consultation.,NO
The explanation was not adaptable.,NO
I feel prepared and abundant when discussing my health with the doctor.,NO
I've been feeling appreciative and unified about my energy levels.,NO
"The side effects are not outlandish, hindered and tenderness.",YES
The treatment plan is not ardent.,NO
"I found the doctor's explanation very unapproachable, weakening and stubborn.",YES
"Each day, I'm feeling a little more noteworthy.",NO
The medication is not making me feel impolite.,YES
I am not useless with the treatment.,YES
The dosage adjustment has been distrustful.,YES
"My health is not tender, fruitful and accommodating.",NO
"Each day, I'm feeling a little more appreciated, tender and revivifying.",NO
I feel useless and deficient about the information I received.,YES
I've been experiencing extravagant and limited in my recovery.,YES
The explanation was not distrustful.,YES
"Since the treatment, I've been desperate and throbbing.",YES
"Each day, I'm feeling a little more sufficient.",NO
"Today, I feel irregular.",YES
I am not seeing uncertain signs of progress.,YES
I'm feeling quite adaptive about my prognosis.,NO
"Although the treatment is discouraged, I still feel overlooked.",YES
I'm seeing damaging signs of progress.,YES
My day has been nurturing.,NO
"Today, I feel adept, fostering and benign.",NO
I'm seeing disregarded and expensive signs of progress.,YES
"I'm trying to stay unconfident, tiring and anxious despite the challenges.",YES
I do not feel complication.,YES
"I'm finding the new medication prevailing, indignant and doubtful.",YES
My symptoms are becoming more cordial.,NO
The dosage adjustment has been indifferent and exorbitant.,YES
"I do not feel sensible, independent and safe.",NO
This whole situation has made me feel resistant and unreceptive.,YES
The treatment plan is not vital.,NO
The treatment plan is not shut and apprehensive.,YES
The pain is successful and adaptable.,NO
"I feel inflexible, disadvantageous and extravagant regarding my care.",YES
I have relieved in my healthcare team.,NO
I am not reassuring and fathomed with the treatment.,NO
"My symptoms are routine, allied and accepted.",NO
"I was hoping to feel horrible, but instead, I feel horrible.",YES
I have at-ease in my healthcare team.,NO
The latest tests show my condition is downcast.,YES
I feel declining and abnormal today.,YES
I'm hopeful the pain will become enigmatic soon.,YES
"I do not have apprehended, confident and contactable in my healthcare team.",NO
My symptoms are horrendous.,YES
I do not have outraged and distressed in my healthcare team.,YES
I am not competent with the treatment.,NO
"My mood has not been strong, empowered and reassuring.",NO
"This whole situation has made me feel succeeding, dynamic and better.",NO
My recovery has not been detailed and encouraging.,NO
"Each day, I'm feeling a little more affable, beholden and careful.",NO
"I am not unsuccessful, perturbed and wanting about my condition.",YES
"I feel optimistic, articulate and nuanced about the information I received.",NO
"Today, I feel regenerative, dynamic and consoling.",NO
I've been experiencing affable and progressing due to side effects.,NO
"The treatment plan seems to be disgruntled, refractory and hindered.",YES
I'm looking forward to a inattentive future.,YES
"I'm feeling undecided, lost and adverse about continuing this course of treatment.",YES
I feel restful regarding my care.,NO
The medication is making me feel lively.,NO
There is no productive and informative in my condition.,NO
The treatment plan is not affable.,NO
My symptoms are not fruitful.,NO
The pain is not open and specific.,NO
I'm prudent about my condition.,NO
I'm seeing remote signs of progress.,YES
I found the doctor's explanation very delicate.,YES
The communication with the clinic has been progressed.,YES
"The explanation was not advantageous, encouraged and committed.",NO
"I'm exacerbated, abhorrent and unconfident with how the treatment is going.",YES
"I felt strengthening, remarkable and empowered during my last consultation.",NO
The pain is affirmative.,NO
"I do not feel versatile, explicit and understandable.",NO
My general disposition has been superior and encouraged.,NO
"I was hoping to feel ardent, but instead, I feel accomplished.",NO
I'm feeling thorough and renewing about continuing this course of treatment.,NO
"I'm mindful, expectant and participative about my condition.",NO
"Although the treatment is unresponsive, I still feel shut.",YES
"The pain is not encouraged, confident and remedial.",NO
I'm looking forward to a unattainable future.,YES
My recovery has been outstanding and lively so far.,NO
"I found the doctor's explanation very rejuvenating, revivifying and reassuring.",NO
"Since the treatment, I've been unbearable, delicate and weakening.",YES
I'm finding the new medication hostile and insubstantial.,YES
I feel mindful when discussing my health with the doctor.,NO
"Since the treatment, I've been compliant, comprehended and obliged.",NO
I'm concerned about the mobile and thankful impact of the therapy.,NO
"I was hoping to feel conscientious, but instead, I feel peaceful.",NO
The dosage adjustment has been heard.,NO
I am not seeing doubtful and apathetic signs of progress.,YES
I found the doctor's explanation very mischaracterized.,YES
The pain is relaxed.,NO
"I am not metastasized, worried and obstructed with the treatment.",YES
The treatment plan is not prevented.,YES
"I'm experiencing fortified, receptive and articulate levels of discomfort.",NO
"I'm feeling inadequate, skeptical and anxious about continuing this course of treatment.",YES
I feel neglected about the information I received.,YES
"Overall, my health is feeling dubious, lethargic and uneasy.",YES
I'm inadmissible and discomfort with how the treatment is going.,YES
The path to recovery feels independent.,NO
I felt sophisticated and springy during my last consultation.,NO
The medication is not making me feel unread.,YES
"I feel responsible, receptive and relieving about the information I received.",NO
The pain is not nimble.,NO
The medication is not making me feel sociable.,NO
"The treatment plan seems to be informed, balanced and judicious.",NO
I'm hopeful the pain will become adaptive and respected soon.,NO
This whole situation has made me feel obliged.,NO
The side effects are not fulfilling and traditional.,NO
I found the doctor's explanation very inattentive and progressed.,YES
I'm seeing shut and metastasized signs of progress.,YES
"I've been dealing with a spry, responsible and improving feeling in my joints.",NO
My symptoms are not fatigued and detached.,YES
The latest tests show my condition is limited and skeptical.,YES
My health is not useless.,YES
"I am not enduring, nurturing and complimenting about my condition.",NO
"Although the treatment is salutary, I still feel salutary.",NO
I'm feeling animated and certain about continuing this course of treatment.,NO
The pain is side-effect.,YES
I am not brutal and confrontational about my condition.,YES
"I'm feeling prohibited, disturbed and unlettered about continuing this course of treatment.",YES
"I was hoping to feel aggravated, but instead, I feel powerless.",YES
The treatment plan seems to be equipped.,NO
I do not have received and reviving in my healthcare team.,NO
"I've been experiencing prevailing, dubious and fierce due to side effects.",YES
I'm noticing reserved changes in my daily life.,YES
The latest tests show my condition is ready.,NO
"The explanation was not amiable, cordial and educated.",NO
I felt melancholy and hesitant during my last consultation.,YES
There is no outcomes in my condition.,YES
I'm experiencing fervent and amicable levels of discomfort.,NO
I'm feeling sensitive about continuing this course of treatment.,YES
I'm finding the new medication versatile and selfless.,NO
"I'm looking forward to a brutal, vicious and appalled future.",YES
The path to recovery feels undecided and inadequate.,YES
I feel progressed about the information I received.,YES
I'm noticing responsive changes in my daily life.,NO
I'm feeling quite buoyant and optimistic about my prognosis.,NO
"Although the treatment is favorable, I still feel capable.",NO
The latest tests show my condition is refractory and upset.,YES
The medication is making me feel withstandable.,NO
The explanation was not stable.,NO
I am not lightheaded and underestimated about my condition.,YES
I feel placid and resolved regarding my care.,NO
"I have flexible, undoubted and moderate in my healthcare team.",NO
"I was hoping to feel friendly, but instead, I feel achieving.",NO
"Each day, I'm feeling a little more realizing, educated and congenial.",NO
"I'm feeling quite irrational, reserved and bewildered about my prognosis.",YES
"My general disposition has been unsupportable, enraged and steep.",YES
"My symptoms are not unfriendly, scared and scanty.",YES
I feel incapacitated and fierce regarding my care.,YES
"My day has been paralyzed, side-effect and insolvent.",YES
I do not have excessive and disappointed in my healthcare team.,YES
I'm trying to stay active and mindful despite the challenges.,NO
The medication is making me feel reaching and energetic.,NO
I have melancholy and insecure in my healthcare team.,YES
The treatment plan is not horror-struck and impaired.,YES
The treatment plan is not fulfilled.,NO
I'm hopeful the pain will become enlightened soon.,NO
"I'm feeling doubtful, queasy and petrified about continuing this course of treatment.",YES
I do not feel responsive.,NO
The communication with the clinic has been positive and robust.,NO
I feel controlled about the information I received.,NO
The side effects are not irritated and savage.,YES
"I am not seeing unresponsive, pointless and misconceived signs of progress.",YES
I'm feeling ready about continuing this course of treatment.,NO
There is no self-sufficient and independent in my condition.,NO
"This whole situation has made me feel discourteous, detached and despondent.",YES
My symptoms are not horror-struck.,YES
My symptoms are not awful and insensible.,YES
I do not have moderated and optimistic in my healthcare team.,NO
"I've been dealing with a injudicious, untutored and weak feeling in my joints.",YES
My recovery has not been remission.,NO
The pain is trusting.,NO
"The explanation was not compassionate, plentiful and assured.",NO
The treatment plan is not controlling.,YES
"My mood has not been caring, serene and bouncy.",NO
"I felt humane, motivated and logical during my last consultation.",NO
I feel destitute about the information I received.,YES
"Since the treatment, I've been enlightened, healing and obliged.",NO
I've been experiencing misinterpreted and intense due to side effects.,YES
My health is not reluctant.,YES
"The explanation was not hindered, equivocal and exasperated.",YES
I've been feeling committed and regulated about my energy levels.,NO
My symptoms are becoming more rational.,NO
"The side effects are informative, determined and empathetic.",NO
The communication with the clinic has been approving and participative.,NO
My recovery has not been affirmative and accepted.,NO
"I have calm, associated and accessible in my healthcare team.",NO
"Each day, I'm feeling a little more mistrustful, destitute and uncontactable.",YES
I'm amiable and precise about my condition.,NO
My symptoms are soothing and temperate.,NO
My recovery has not been terrified.,YES
"The doctor said my condition is deepened, inadmissible and worse.",YES
"The medication is not making me feel wise, vigilant and promoting.",NO
"I was hoping to feel better, but instead, I feel easygoing.",NO
"Today, I feel grateful.",NO
I do not have resolved in my healthcare team.,NO
"I've been experiencing disinclined, critical and escalated due to side effects.",YES
"Overall, my health is feeling dedicated and embraced.",NO
The pain is philanthropic and compliant.,NO
"I have polite, agile and flexible in my healthcare team.",NO
"I am not unschooled, inaccessible and breakable about my condition.",YES
"My mood has not been genial, honest and sheltered.",NO
The doctor said my condition is diligent.,NO
"Since the treatment, I've been unsure and sparse.",YES
"I'm looking forward to a prohibited, useless and confused future.",YES
"Since the treatment, I've been reaching, temperate and customary.",NO
"The side effects are not savage, depleting and stubborn.",YES
"I do not feel attentive, discerned and plenty.",NO
"My health is not wanting, prevented and melancholy.",YES
I've been experiencing convinced due to side effects.,NO
The treatment plan is not extreme and troubled.,YES
"I was hoping to feel active, but instead, I feel cozy.",NO
"The side effects are careful, resolved and refreshing.",NO
"Today, I feel degenerative, peculiar and odd.",YES
"I do not feel pain, uninvolved and useless.",YES
I'm concerned about the tolerable and accomplished impact of the therapy.,NO
"Each day, I'm feeling a little more frightened, detached and consequences.",YES
The path to recovery feels insolvent and handicapped.,YES
I am not appalled about my condition.,YES
I've been dealing with a bellicose and vicious feeling in my joints.,YES
"I hardly feel unfriendly, reaction and uninformed anymore.",YES
"I have familiar, happy and assured in my healthcare team.",NO
I feel thoughtful and comforting regarding my care.,NO
I've been experiencing normal and responsive in my recovery.,NO
The pain is promising.,NO
The pain is sound.,NO
The side effects are not thoughtless.,YES
I've been experiencing fruitless due to side effects.,YES
The treatment plan is not reluctant.,YES
"The dosage adjustment has been intensified, unsure and opposed.",YES
"My mood has been content, responsive and available since starting the new regimen.",NO
The doctor said my condition is encouraged and assured.,NO
I have strange and distrustful in my healthcare team.,YES
"The improvements are rarely mystified, unreceptive and adverse.",YES
I've been feeling powerless and adverse about my energy levels.,YES
The path to recovery feels weak.,YES
"I am not detrimental, impatient and useless with the treatment.",YES
The side effects are not obliged.,NO
I'm hopeful the pain will become opaque and pointless soon.,YES
"I'm feeling quite endurable, customary and grateful about my prognosis.",NO
The dosage adjustment has been unhappy.,YES
I'm concerned about the opposed impact of the therapy.,YES
"I'm finding the new medication scanty, insubstantial and disinclined.",YES
"I'm trying to stay renewing, calm and backed despite the challenges.",NO
"Each day, I'm feeling a little more unendurable.",YES
I found the doctor's explanation very uncertain and cryptic.,YES
The latest tests show my condition is remarkable and flexible.,NO
The explanation was not advocating and capable.,NO
"Overall, my health is feeling buoyant and fruitful.",NO
My day has been horrified and elevated.,YES
"The improvements are rarely deficient, unread and terrified.",YES
I'm looking forward to a queasy future.,YES
My health is not restorative and routine.,NO
The communication with the clinic has been accustomed and beholden.,NO
My mood has not been restricted and expensive.,YES
I'm nervous and unschooled with how the treatment is going.,YES
"I've been feeling disheartened, uncivil and overpowering about my energy levels.",YES
I'm feeling adversarial about continuing this course of treatment.,YES
I've been dealing with a calm and nimble feeling in my joints.,NO
I feel soreness today.,YES
I'm looking forward to a amenable future.,NO
The pain is hopeless.,YES
I felt amicable and clear during my last consultation.,NO
"I was hoping to feel limited, but instead, I feel frightened.",YES
"My day has been salubrious, zealous and valued.",NO
My symptoms are becoming more dynamic and controlled.,NO
I found the doctor's explanation very reviving and scholarly.,NO
I do not feel adaptive and adroit.,NO
"My recovery has not been unwell, uneasy and unacceptable.",YES
I feel skimpy and sapping about the information I received.,YES
I felt ill and complications during my last consultation.,YES
The side effects are not manageable and connected.,NO
My recovery has been noteworthy so far.,NO
"Overall, my health is feeling savage, stiff and adverse.",YES
My symptoms are unusual.,YES
"I found the doctor's explanation very adaptable, tough and wholesome.",NO
My symptoms are not eased and informed.,NO
The side effects are not retrograde.,YES
There is no appreciative in my condition.,NO
"I feel intolerant, impeded and limited about the information I received.",YES
I'm hopeful the pain will become nourishing and affable soon.,NO
"The medication is not making me feel realizing, relaxed and mild.",NO
My health is not harmful.,YES
"I am not superior, reaching and serene about my condition.",NO
"Today, I feel unsupportable and hindered.",YES
"I'm hopeful the pain will become malign, panicked and insubstantial soon.",YES
"There is no articulate, prudent and positive in my condition.",NO
"I was hoping to feel insupportable, but instead, I feel misestimated.",YES
I'm seeing heartening and tolerable signs of progress.,NO
My recovery has not been averse.,YES
"I'm trying to stay abominable, suspicious and adverse despite the challenges.",YES
"The pain is obscure, resistant and steep.",YES
I'm seeing accommodating and tough signs of progress.,NO
The medication is making me feel tranquil and allied.,NO
I have amiable and mindful in my healthcare team.,NO
I am not affable and placid about my condition.,NO
"The path to recovery feels uninterested, useless and disabled.",YES
"I'm noticing bolstered, extraordinary and buoyant changes in my daily life.",NO
"My mood has been definite, cared and equilibrated since starting the new regimen.",NO
"The path to recovery feels receptive, untroubled and mild.",NO
"I'm seeing downcast, sad and uncertain signs of progress.",YES
"I've been experiencing ramification, concerned and savage in my recovery.",YES
"Overall, my health is feeling restorative.",NO
"I'm rehabilitative, relaxed and satisfied about my condition.",NO
The pain is not brutal.,YES
I'm noticing commending and extraordinary changes in my daily life.,NO
"Overall, my health is feeling obscure and excruciating.",YES
My mood has not been bolstered and strong.,NO
"My mood has not been trusting, satisfied and neighborly.",NO
"I've been experiencing ferocious, cold and inadmissible due to side effects.",YES
"My health is not dexterous, recognized and receptive.",NO
I'm feeling quite uninterested about my prognosis.,YES
I'm experiencing heartening and positive levels of discomfort.,NO
My health is not strong.,NO
"My symptoms are not harmonious, outstanding and prudent.",NO
"My recovery has been pointless, feeble and outcome so far.",YES
This whole situation has made me feel cryptic.,YES
My symptoms are not displeased and outcome.,YES
"Today, I feel complications.",YES
"I've been feeling recognizing, received and defended about my energy levels.",NO
"I'm feeling quite confident, appreciative and bolstered about my prognosis.",NO
"My mood has been displeased, terrified and painful since starting the new regimen.",YES
I'm finding the new medication knowledgeable.,NO
"I'm looking forward to a polite, assisted and regular future.",NO
The medication is making me feel horrible and stiff.,YES
"My day has been flexible, constructive and elastic.",NO
The improvements are rarely defended.,NO
"Since the treatment, I've been coherent.",NO
I'm looking forward to a metastasized future.,YES
I'm noticing consequences changes in my daily life.,YES
My health is not controlled.,NO
"My mood has been vacillating, unlettered and deleterious since starting the new regimen.",YES
"Although the treatment is painful, I still feel reluctant.",YES
My recovery has not been unread.,YES
The communication with the clinic has been relieving and sheltered.,NO
I found the doctor's explanation very devalued and insupportable.,YES
My general disposition has been urgent and blocked.,YES
"My symptoms are skeptical, ineffective and distressed.",YES
I'm concerned about the weakening and discomfort impact of the therapy.,YES
I feel retreating and inflexible today.,YES
The pain is expensive.,YES
"Although the treatment is misevaluated, I still feel intensified.",YES
The communication with the clinic has been doubtful and deleterious.,YES
"Each day, I'm feeling a little more impaired, gloomy and sickly.",YES
The explanation was not determined.,NO
I'm hopeful the pain will become delicate soon.,YES
"I found the doctor's explanation very failing, subsiding and burning.",YES
"I'm hopeful the pain will become consistent, benign and sheltered soon.",NO
The latest tests show my condition is abhorrent.,YES
The side effects are not damaging.,YES
I've been dealing with a hardy and advantageous feeling in my joints.,NO
"I'm concerned about the understood, collaborative and peaceful impact of the therapy.",NO
"Today, I feel commanding, disgruntled and unread.",YES
"I am not panicked, apprehensive and evolved about my condition.",YES
"I'm trying to stay salutary, able and productive despite the challenges.",NO
I do not feel unhappy and overpriced.,YES
"Since the treatment, I've been assured, accompanied and regulated.",NO
I feel notable and fervent regarding my care.,NO
"Since the treatment, I've been prevented.",YES
My general disposition has been uninterested and lethargic.,YES
"My symptoms are not appalled, troubled and dizzy.",YES
I've been experiencing impaired due to side effects.,YES
"I am not recovered, vigorous and coherent with the treatment.",NO
"The medication is not making me feel enthusiastic, fostering and indebted.",NO
I'm horror-struck about my condition.,YES
I found the doctor's explanation very rehabilitative and defended.,NO
"The pain is not backed, flexible and relief.",NO
I feel subsiding and resentful when discussing my health with the doctor.,YES
"Since the treatment, I've been hurting, discouraged and unsettled.",YES
I hardly feel sharp anymore.,YES
This whole situation has made me feel comfortable.,NO
I'm feeling quite strengthening about my prognosis.,NO
I've been dealing with a fatiguing and queasy feeling in my joints.,YES
"I am not bountiful, encouraged and dedicated with the treatment.",NO
"I do not have amenable, precise and adaptive in my healthcare team.",NO
"Since the treatment, I've been ramifications, anxious and rigid.",YES
I feel vague about the information I received.,YES
I am not beholden and positive with the treatment.,NO
I'm experiencing impoverished levels of discomfort.,YES
My symptoms are hostile and counterproductive.,YES
"There is no undervalued, insecure and gloomy in my condition.",YES
I feel opaque regarding my care.,YES
My day has been discouraged and pain.,YES
My general disposition has been intolerant and amplified.,YES
"I'm finding the new medication draining, appalled and feeble.",YES
I've been experiencing proficient and accustomed due to side effects.,NO
"My mood has been brittle, defective and panicked since starting the new regimen.",YES
My symptoms are becoming more renewing.,NO
I do not feel fostering.,NO
"I've been feeling deficient, expensive and unavailable about my energy levels.",YES
I'm looking forward to a painful future.,YES
"I feel displeased, uncaring and weak regarding my care.",YES
I've been dealing with a mischaracterized feeling in my joints.,YES
"I do not feel confident, capable and acknowledging.",NO
The path to recovery feels benevolent and supported.,NO
I've been dealing with a careful feeling in my joints.,NO
"Each day, I'm feeling a little more assimilated and understanding.",NO
The latest tests show my condition is irregular and fearful.,YES
I am not received and laid-back about my condition.,NO
"I have usual, adjustable and definite in my healthcare team.",NO
I am not understood with the treatment.,NO
"I feel improving, constructive and complimenting today.",NO
The explanation was not dedicated.,NO
"There is no functional, logical and hardy in my condition.",NO
"Although the treatment is committed, I still feel committed.",NO
There is no disengaged and nauseous in my condition.,YES
The explanation was not stubborn and extreme.,YES
The latest tests show my condition is costly.,YES
The doctor said my condition is declining and overwhelming.,YES
I've been experiencing adjustable and improvement due to side effects.,NO
My symptoms are friendly and whole.,NO
The explanation was not informed and informed.,NO
The doctor said my condition is valued and generous.,NO
I'm distant with how the treatment is going.,YES
I feel accommodating and complimenting when discussing my health with the doctor.,NO
I'm concerned about the mindful and flexible impact of the therapy.,NO
My recovery has not been exasperated.,YES
The improvements are rarely bankrupt and detached.,YES
I have rejuvenating in my healthcare team.,NO
My symptoms are not reasonable.,NO
"I was hoping to feel comforting, but instead, I feel heartening.",NO
"Since the treatment, I've been delicate, throbbing and worthless.",YES
"The side effects are responsive, agile and healed.",NO
"My symptoms are steep, resistant and defeating.",YES
"Today, I feel stubborn, underestimated and refractory.",YES
"I've been feeling plentiful, convinced and advantageous about my energy levels.",NO
"I do not have allied, receptive and logical in my healthcare team.",NO
The pain is not uninvolved and tired.,YES
I'm trying to stay drained despite the challenges.,YES
I've been experiencing nourishing and connected in my recovery.,NO
My mood has been comfortable and educated since starting the new regimen.,NO
My day has been petrified.,YES
I'm looking forward to a contactable future.,NO
"I found the doctor's explanation very unreceptive, hesitant and unsettled.",YES
I have scared and confused in my healthcare team.,YES
My symptoms are becoming more mindful.,NO
My recovery has been appreciative so far.,NO
"Each day, I'm feeling a little more anxious, insensible and intense.",YES
I am not seeing inadequate and unreachable signs of progress.,YES
The side effects are not restless.,YES
"The explanation was not confident, receptive and unified.",NO
My mood has been coherent since starting the new regimen.,NO
"I've been dealing with a exhausted, overlooked and futile feeling in my joints.",YES
I am not definite with the treatment.,NO
I am not achieving about my condition.,NO
"I'm beneficial, elastic and embraced with how the treatment is going.",NO
"Today, I feel ramification.",YES
"My symptoms are not uncomfortable, unreasonable and perplexed.",YES
There is no closed in my condition.,YES
I'm painful and dejected with how the treatment is going.,YES
The medication is not making me feel auspicious and content.,NO
I'm feeling quite equilibrated about my prognosis.,NO
My recovery has not been dispirited and insensible.,YES
I've been dealing with a comforting feeling in my joints.,NO
"Since the treatment, I've been ramification and dominating.",YES
"I've been feeling flimsy, delicate and uneducated about my energy levels.",YES
"I do not feel reassuring, defended and prudent.",NO
"The pain is declining, exhausting and terrible.",YES
"I feel unsound, unbearable and defective about the information I received.",YES
The pain is brittle.,YES
The communication with the clinic has been superb and substantial.,NO
My recovery has not been unfavorable and queasy.,YES
The side effects are following and attentive.,NO
I feel salubrious and calm today.,NO
I am not weak and advanced about my condition.,YES
The latest tests show my condition is weak and deficient.,YES
I am not appreciative with the treatment.,NO
The side effects are not worried and dejected.,YES
I'm helpful with how the treatment is going.,NO
The medication is not making me feel severe.,YES
My mood has not been remedial.,NO
I'm outstanding about my condition.,NO
My health is not pricey and unlearned.,YES
I feel excited and internalized about the information I received.,NO
"Overall, my health is feeling salubrious and gentle.",NO
"My symptoms are becoming more obscure, hampered and unmindful.",YES
I'm seeing extreme and side-effects signs of progress.,YES
I'm hopeful the pain will become calm and fulfilling soon.,NO
I am not connected and assisted about my condition.,NO
The communication with the clinic has been aggressive and reaction.,YES
My symptoms are undoubted.,NO
My symptoms are not uncomfortable and despairing.,YES
I'm noticing normal and enough changes in my daily life.,NO
"Although the treatment is exacerbated, I still feel faint.",YES
I feel educated today.,NO
"The path to recovery feels shut, commanding and despondent.",YES
"I hardly feel retrograde, hostile and sparse anymore.",YES
"I found the doctor's explanation very expert, better and confident.",NO
The dosage adjustment has been retreating and troubled.,YES
"My symptoms are not unacceptable, wanting and poor.",YES
"I felt impolite, regressing and destitute during my last consultation.",YES
My recovery has not been concerned and unfavorable.,YES
I'm noticing impermissible changes in my daily life.,YES
The improvements are rarely dubious.,YES
I'm trying to stay harmonious despite the challenges.,NO
I've been dealing with a ill and urgent feeling in my joints.,YES
"I'm looking forward to a adamant, uncomfortable and prohibitive future.",YES
